timestamp,tc,internal
1772522672.108511,22.0,23.19
1772522673.1164181,22.25,23.19
1772522674.123442,22.0,23.19
1772522675.1304379,22.0,23.19
1772522676.137432,22.0,23.19
1772522677.14447,22.0,23.19
1772522678.151554,22.0,23.19
1772522679.15942,22.0,23.19
1772522680.16649,22.0,23.19
1772522681.173457,22.0,23.12
1772522682.180577,22.0,23.19
1772522683.187476,22.0,23.19
1772522684.195426,22.0,23.19
1772522685.201548,22.0,23.19
1772522686.2085178,22.0,23.19
1772522687.2155352,22.0,23.19
1772522688.222529,22.0,23.19
1772522689.229558,22.0,23.19
1772522690.236562,22.0,23.19
1772522691.243576,22.0,23.19
1772522692.2505941,22.0,23.19
1772522693.258441,22.0,23.19
1772522694.265495,22.0,23.19
1772522695.272505,22.0,23.19
1772522696.279486,22.0,23.19
1772522697.286567,22.0,23.19
1772522698.294461,22.0,23.25
1772522699.301491,22.0,23.19
1772522700.307559,22.0,23.19
1772522701.314492,22.0,23.25
1772522702.321467,22.0,23.25
1772522703.3285701,22.0,23.19
1772522704.335561,22.0,23.25
1772522705.342592,22.0,23.19
1772522706.350494,22.25,23.19
1772522707.35748,22.0,23.19
1772522708.364484,22.0,23.19
1772522709.371495,22.0,23.19
1772522710.378546,22.0,23.19
1772522711.3855438,22.0,23.19
1772522712.39259,22.0,23.19
1772522713.39954,22.0,23.25
1772522714.4065201,22.25,23.25
1772522715.413495,22.0,23.19
1772522716.420618,22.0,23.25
1772522717.4275358,22.0,23.25
1772522718.43453,22.25,23.25
1772522719.441598,22.0,23.19
1772522720.449533,22.0,23.25
1772522721.4565482,22.0,23.25
1772522722.463501,22.25,23.25
1772522723.470592,22.0,23.19
1772522724.477631,22.0,23.25
1772522725.4846,22.0,23.19
1772522726.491539,22.25,23.25
1772522727.498731,22.25,23.25
1772522728.505582,22.25,23.25
1772522729.513525,22.0,23.19
1772522730.520521,22.25,23.25
1772522731.527617,22.0,23.19
1772522732.5355608,22.25,23.25
1772522733.543554,22.0,23.19
1772522734.550663,22.25,23.25
1772522735.558572,22.25,23.25
1772522736.5656781,22.25,23.25
1772522737.5735838,22.25,23.25
1772522738.580628,22.25,23.25
1772522739.588604,22.0,23.25
1772522740.5965629,22.0,23.19
1772522741.603636,22.25,23.25
1772522742.6115599,22.25,23.25
1772522743.6186528,22.0,23.31
1772522744.6266,22.0,23.25
1772522745.634557,22.25,23.25
1772522746.6417139,22.25,23.25
1772522747.649719,22.0,23.25
1772522748.65759,22.25,23.25
1772522749.664643,22.25,23.25
1772522750.67262,22.25,23.25
1772522751.6796951,22.25,23.25
1772522752.6876822,22.25,23.25
1772522753.695689,22.25,23.25
1772522754.703722,22.25,23.25
1772522755.711589,22.25,23.25
1772522756.7196002,22.25,23.25
1772522757.727548,22.25,23.25
1772522758.734625,22.25,23.25
1772522759.7415922,22.25,23.25
1772522760.748616,22.25,23.25
1772522761.755656,22.25,23.25
1772522762.7635489,22.25,23.25
1772522763.770699,22.25,23.25
1772522764.778667,22.25,23.25
1772522765.786593,22.25,23.25
1772522766.7945979,22.25,23.31
1772522767.802562,22.25,23.25
1772522768.8097012,22.25,23.25
1772522769.817617,22.25,23.25
1772522770.82466,22.25,23.19
1772522771.831734,22.25,23.19
1772522772.8396459,22.25,23.19
1772522773.846733,22.25,23.19
1772522774.8547058,22.25,23.19
1772522775.8626502,22.25,23.19
1772522776.870602,22.25,23.19
1772522777.87768,22.25,23.19
1772522778.8856351,22.25,23.19
1772522779.8936121,22.25,23.12
1772522780.900727,22.5,23.19
1772522781.9087129,22.5,23.19
1772522782.9167209,22.5,23.19
1772522783.9246159,22.5,23.19
1772522784.9326441,22.5,23.19
1772522785.940681,22.25,23.12
1772522786.948643,22.5,23.19
1772522787.956676,22.5,23.19
1772522788.9647129,22.5,23.19
1772522789.972746,22.5,23.19
1772522790.9816508,22.5,23.19
1772522791.98962,22.5,23.12
1772522792.997637,22.5,23.12
1772522794.0056589,22.5,23.12
1772522795.013688,22.5,23.12
1772522796.021648,22.5,23.06
1772522797.0287108,22.5,23.12
1772522798.036797,22.5,23.06
1772522799.044682,22.5,23.06
1772522800.051751,22.5,23.06
1772522801.059653,22.5,23.06
1772522802.0667598,22.5,23.06
1772522803.074691,22.5,23.06
1772522804.082654,22.75,23.06
1772522805.089737,22.5,23.06
1772522806.0977228,22.75,23.0
1772522807.105673,22.75,23.0
1772522808.1127412,22.75,23.0
1772522809.120704,22.75,23.0
1772522810.1287198,22.75,23.0
1772522811.1366951,22.75,23.0
1772522812.144686,22.75,23.0
1772522813.1526709,22.75,23.0
1772522814.160658,22.75,23.0
1772522815.167783,22.75,23.0
1772522816.1757288,22.75,22.94
1772522817.183668,22.75,22.94
1772522818.190762,22.75,22.94
1772522819.198763,22.75,22.88
1772522820.206679,22.75,22.88
1772522821.2147079,22.75,22.88
1772522822.222699,22.75,22.88
1772522823.2307441,22.75,22.81
1772522824.237718,22.75,22.88
1772522825.245731,23.0,22.88
1772522826.252779,23.0,22.88
1772522827.260709,23.0,22.81
1772522828.268736,23.0,22.81
1772522829.276694,23.0,22.75
1772522830.284678,23.0,22.75
1772522831.291748,23.0,22.75
1772522832.299735,23.0,22.69
1772522833.306767,23.0,22.75
1772522834.313815,23.0,22.75
1772522835.321742,23.0,22.69
1772522836.3287628,23.0,22.69
1772522837.3367648,23.0,22.69
1772522838.3447108,23.25,22.69
1772522839.351732,23.0,22.69
1772522840.358804,23.0,22.69
1772522841.366739,23.25,22.69
1772522842.373843,23.25,22.69
1772522843.381757,23.25,22.69
1772522844.3887901,23.25,22.69
1772522845.396738,23.25,22.69
1772522846.40383,23.25,22.69
1772522847.410819,23.25,22.69
1772522848.417848,23.25,22.69
1772522849.425738,23.25,22.69
1772522850.432775,23.25,22.69
1772522851.4396942,23.25,22.69
1772522852.447726,23.25,22.69
1772522853.457015,23.25,22.69
1772522854.462736,23.25,22.69
1772522855.47069,23.25,22.69
1772522856.477778,23.25,22.69
1772522857.485728,23.25,22.69
1772522858.4927402,23.5,22.69
1772522859.500743,23.5,22.69
1772522860.5087519,23.25,22.62
1772522861.5157728,23.5,22.69
1772522862.522846,23.5,22.69
1772522863.5307798,23.5,22.62
1772522864.5378392,23.5,22.62
1772522865.545853,23.5,22.62
1772522866.553771,23.5,22.62
1772522867.5608928,23.5,22.69
1772522868.568806,23.5,22.62
1772522869.5758731,23.5,22.62
1772522870.583808,23.5,22.69
1772522871.590872,23.5,22.62
1772522872.59878,23.5,22.62
1772522873.606185,23.5,22.62
1772522874.6127858,23.5,22.69
1772522875.620807,23.5,22.69
1772522876.628758,23.5,22.69
1772522877.6368032,23.5,22.69
1772522878.643787,23.5,22.69
1772522879.6508002,23.5,22.62
1772522880.658845,23.5,22.69
1772522881.665904,23.5,22.69
1772522882.673834,23.75,22.69
1772522883.6817942,23.5,22.69
1772522884.688899,23.75,22.69
1772522885.696807,23.75,22.69
1772522886.7039301,23.75,22.69
1772522887.7118888,23.5,22.69
