timestamp_unix,tc_c,internal_c,ssr,raw_line
1773034631.003965,20.25,21.44,1,[    230171 ms] TC= 20.25C INT= 21.44C F=OK SSR=1 RAW=0x01441570
1773034641.0498939,20.25,21.44,1,[    240176 ms] TC= 20.25C INT= 21.44C F=OK SSR=1 RAW=0x01441570
1773034651.096898,20.25,21.5,1,[    250181 ms] TC= 20.25C INT= 21.50C F=OK SSR=1 RAW=0x01441580
1773034661.14298,20.25,21.5,1,[    260186 ms] TC= 20.25C INT= 21.50C F=OK SSR=1 RAW=0x01441580
1773034671.184979,20.0,21.5,1,[    270191 ms] TC= 20.00C INT= 21.50C F=OK SSR=1 RAW=0x01401580
1773034681.225992,20.0,21.5,1,[    280196 ms] TC= 20.00C INT= 21.50C F=OK SSR=1 RAW=0x01401580
1773034691.269899,20.0,21.5,1,[    290201 ms] TC= 20.00C INT= 21.50C F=OK SSR=1 RAW=0x01401580
1773034701.3138518,20.0,21.44,1,[    300206 ms] TC= 20.00C INT= 21.44C F=OK SSR=1 RAW=0x01401570
1773034711.359915,20.0,21.44,1,[    310211 ms] TC= 20.00C INT= 21.44C F=OK SSR=1 RAW=0x01401570
1773034721.404923,20.0,21.5,1,[    320216 ms] TC= 20.00C INT= 21.50C F=OK SSR=1 RAW=0x01401580
1773034731.451964,20.0,21.5,1,[    330221 ms] TC= 20.00C INT= 21.50C F=OK SSR=1 RAW=0x01401580
1773034741.498881,20.0,21.44,1,[    340226 ms] TC= 20.00C INT= 21.44C F=OK SSR=1 RAW=0x01401570
1773034751.5449119,20.0,21.44,1,[    350231 ms] TC= 20.00C INT= 21.44C F=OK SSR=1 RAW=0x01401570
1773034761.5928981,20.25,21.44,1,[    360236 ms] TC= 20.25C INT= 21.44C F=OK SSR=1 RAW=0x01441570
1773034771.639818,20.25,21.44,1,[    370241 ms] TC= 20.25C INT= 21.44C F=OK SSR=1 RAW=0x01441570
1773034781.6818292,20.25,21.44,1,[    380246 ms] TC= 20.25C INT= 21.44C F=OK SSR=1 RAW=0x01441570
1773034791.720901,20.5,21.44,1,[    390251 ms] TC= 20.50C INT= 21.44C F=OK SSR=1 RAW=0x01481570
1773034801.7638478,20.5,21.44,1,[    400256 ms] TC= 20.50C INT= 21.44C F=OK SSR=1 RAW=0x01481570
1773034811.8107572,20.75,21.5,1,[    410261 ms] TC= 20.75C INT= 21.50C F=OK SSR=1 RAW=0x014C1580
1773034821.861803,20.75,21.5,1,[    420266 ms] TC= 20.75C INT= 21.50C F=OK SSR=1 RAW=0x014C1580
1773034831.909767,20.75,21.44,1,[    430271 ms] TC= 20.75C INT= 21.44C F=OK SSR=1 RAW=0x014C1570
1773034841.95383,21.0,21.5,1,[    440276 ms] TC= 21.00C INT= 21.50C F=OK SSR=1 RAW=0x01501580
1773034852.005752,21.25,21.44,1,[    450281 ms] TC= 21.25C INT= 21.44C F=OK SSR=1 RAW=0x01541570
1773034862.05774,21.5,21.5,1,[    460286 ms] TC= 21.50C INT= 21.50C F=OK SSR=1 RAW=0x01581580
1773034872.1086879,21.5,21.5,1,[    470291 ms] TC= 21.50C INT= 21.50C F=OK SSR=1 RAW=0x01581580
